Keyword,Commercial,Transactional,KD,Volume,Opportunity_Score,Position,Predicted_Position,Predicted_Engagement_Prob,New_Opportunity_Score
social media agency san diego,1.0,1.0,6.0,200.0,1.276884702157049,42.86,43.75177519655876,0.8918596322742486,1.1388019209223992
san diego marketing consultant,1.0,1.0,0.0,20.0,0.9148749022118916,42.86,42.72182459404238,0.9770105322037989,0.8938424151099386
kwsm san diego,1.0,0.0,2.0,40.0,0.4481279985700477,42.86,28.75340388433501,0.8226254532920012,0.36864149795652285
digital marketing san diego,1.0,0.0,26.0,400.0,0.329544197893216,42.86,43.95547155594389,0.9739788251896955,0.32096907071211506
marketing agency san diego,1.0,0.0,53.0,500.0,0.184167212833644,42.86,49.27637176451723,0.9471518241881718,0.17443431159103728
san diego digital marketing,1.0,0.0,29.0,250.0,0.1832239246408523,42.86,44.48168777449765,0.9453533523424987,0.17321135138857913
marketing agencies in san diego,1.0,0.0,27.0,250.0,0.1979821414748922,42.86,44.09786267618352,0.873015023980998,0.1728413839875124
digital marketing agency san diego,1.0,0.0,48.0,600.0,0.2283204316248264,42.86,52.630320650866466,0.7017601543316754,0.16022618133411293
atlanta digital marketing agency,1.0,0.0,53.0,350.0,0.172798801274788,49.42,36.50883358950219,0.9017057507400899,0.1558136728304703
san diego marketing agency,1.0,0.0,52.0,350.0,0.131928806491549,42.86,49.055584981955235,0.8967069994764393,0.11830148421354472
digital marketing orange county,1.0,0.0,30.0,150.0,0.150164158153192,33.27,31.222800280231183,0.7023113092969445,0.10546198652204172
marketing agencies san diego,1.0,0.0,37.0,150.0,0.0840658528918672,42.86,45.955669695400296,0.9045772238340795,0.07604405582816941
social media marketing agency atlanta,1.0,0.0,42.0,100.0,0.0642926741193765,49.42,35.17179448829229,0.7386303833677373,0.04748852253253211
atlanta digital marketing services,1.0,1.0,44.0,30.0,0.0366271819317541,49.42,35.40283699187331,0.8666251010955375,0.03174203524445108
marketing agency in atlanta,1.0,0.0,60.0,70.0,0.0318299898258724,49.42,35.05219448338624,0.8847957463419253,0.02816303960403867
